Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2625984681529,73.31897505346,73.4026520322619,73.3907136130902,73.4706204476014,73.6283254061905,73.6788108351391,73.6500300660483,73.586460355559,73.5062302802121,73.4416182773498,73.3775811003609,73.3560316407221,73.3458918821542,73.3134041965802,73.2962349092945,73.1383545736037,72.9284295508592,72.7070164323599,72.3173933010618,71.663099546105,72.1243235961772,72.0926135702548,72.0657697299176,71.1725472242394,70.8512450415834,70.3851251260918,69.7508752902292,69.3428794158481,69.0048391209627,67.4800830081417,68.0499749942783,68.3075268689262,70.6906062765029,70.5942695930078
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.337,48.278,48.212,48.137,48.053,47.966,47.882,47.801,47.725,47.658,47.602,47.56,47.534,47.525,47.534,47.562,47.605,47.662,47.73,47.803,47.883,47.967,48.055,48.153,48.248,48.339,48.429,48.521,46.762,44.991,42.596,41.903,38.6,38.634,38.459
Africa Western and Central,AFW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4910145401034,77.5039881249894,77.3840121716394,77.4003789646978,77.3985704846498,77.3560976281566,77.2414775590832,77.156328495539,77.0774214615884,77.0465380240313,76.9309137571278,76.8047091539952,76.5223511835627,76.3397330357549,76.1498325532756,75.9734507645498,75.8055066893753,75.6143036207488,75.3263287324199,75.0048817343186,74.6895664752301,74.4697990846177,74.2003621440063,73.8459684746787,73.4778244432848,73.2139971574605,73.1417626627672,72.671507223108,72.4476928235282,72.2480570609585,71.6766530844866,71.7756200174389,71.7891304568029,72.3245310722648,72.1923615745621
Angola,AGO,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.731,77.781,77.807,77.771,77.808,77.862,77.897,77.904,77.896,77.876,77.855,77.832,77.837,77.809,77.808,77.824,77.835,77.859,77.881,77.875,77.883,77.867,77.636,77.402,77.165,76.926,76.686,76.444,76.202,75.959,75.686,77.388,76.46,76.592,76.553
Albania,ALB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.456,69.088,69.788,69.113,68.573,67.723,67.201,68.174,67.657,66.93,66.624,66.253,66.172,65.239,64.299,63.36,62.426,61.484,60.521,62.932,63.348,68.097,64.417,59.711,61.319,64.087,66.179,66.919,68.305,69.661,67.153,68.57,70.893,71.301,72.028
Andorra,AND,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2158809862772,49.2528608575969,49.4636121344897,49.7042184600141,49.9033714344122,49.6397500140782,49.4663204981377,49.2613132095189,49.0203521204688,49.4554738763151,49.1211276912474,48.5602551579837,47.9067829586233,48.0554792239425,48.2208680115819,48.4115916516147,48.661401310818,48.9406418326758,48.9298494078734,49.0336041974042,49.5012118489585,49.5379421773652,49.2621129556595,49.3797798886733,49.4326992733875,48.9389640063401,48.8816494828635,48.096931220496,47.6292952198783,47.3988826145069,46.3159536306254,46.5969348139436,46.993701128281,47.9793719865203,47.8052238622072
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.269,75.511,75.793,76.291,76.638,77.004,76.876,76.211,75.737,75.487,75.451,75.63,76.019,76.579,77.261,78.003,78.552,78.541,78.15,77.618,77.629,77.854,78.05,78.343,78.687,79.014,79.452,79.756,80.114,80.328,79.67,78.09,78.319,78.581,78.881
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.228,66.295,67.22,68.171,68.821,68.326,68.931,69.861,70.251,69.675,69.45,68.732,67.063,68.085,69.127,68.458,68.826,68.282,67.727,68.086,67.539,68.14,68.063,67.663,66.942,66.771,66.599,66.422,67.403,68.122,63.716,68.759,70.054,70.886,70.901
